"Category","Male","Female"
"0-4",-1826,1740
"5-9",-1992,1841
"10-14",-2042,2024
"15-19",-2797,3063
"20-24",-2793,2836
"25-29",-1898,1798
"30-34",-1908,1883
"35-39",-1910,1812
"40-44",-1678,1721
"45-49",-1817,1901
"50-54",-2275,2366
"55-59",-2679,2803
"60-64",-2779,2862
"65-69",-2118,2186
"70-74",-1514,1607
"75-79",-1079,1240
"80-84",-677,853
"85+",-621,1050
