"Category","Male","Female"
"0-4",-1314,1258
"5-9",-1377,1296
"10-14",-1551,1425
"15-19",-1502,1393
"20-24",-1555,1358
"25-29",-1777,1616
"30-34",-1632,1687
"35-39",-1535,1595
"40-44",-1464,1462
"45-49",-1767,1832
"50-54",-2233,2189
"55-59",-2487,2506
"60-64",-2454,2428
"65-69",-2163,2279
"70-74",-1995,2194
"75-79",-1394,1527
"80-84",-717,955
"85+",-799,1223
