"Category","Male","Female"
"0-4",-1436,1374
"5-9",-1606,1445
"10-14",-1718,1627
"15-19",-1923,1475
"20-24",-1968,1404
"25-29",-2071,1614
"30-34",-2025,1637
"35-39",-1884,1592
"40-44",-1877,1686
"45-49",-2186,1969
"50-54",-2393,2231
"55-59",-2418,2424
"60-64",-2421,2488
"65-69",-2005,2044
"70-74",-1674,1793
"75-79",-1051,1195
"80-84",-577,712
"85+",-545,967
