"Category","Male","Female"
"0-4",-781,748
"5-9",-805,744
"10-14",-907,878
"15-19",-953,803
"20-24",-1118,803
"25-29",-1346,953
"30-34",-1309,1010
"35-39",-1374,1032
"40-44",-1135,987
"45-49",-1121,1006
"50-54",-1363,1249
"55-59",-1566,1595
"60-64",-1634,1604
"65-69",-1380,1421
"70-74",-1068,1115
"75-79",-762,773
"80-84",-398,545
"85+",-441,691
