"Category","Male","Female"
"0-4",-13672,13060
"5-9",-13943,13283
"10-14",-14263,13574
"15-19",-15633,16138
"20-24",-15739,16509
"25-29",-15025,15549
"30-34",-15279,15855
"35-39",-14110,14447
"40-44",-12656,13489
"45-49",-12593,13400
"50-54",-14413,15411
"55-59",-15954,17492
"60-64",-15510,16693
"65-69",-12731,14046
"70-74",-9533,11217
"75-79",-6211,7850
"80-84",-3956,5462
"85+",-4426,8339
