"Category","Male","Female"
"0-4",-3491,3332
"5-9",-3638,3523
"10-14",-3726,3591
"15-19",-4358,4349
"20-24",-4230,3860
"25-29",-3826,3303
"30-34",-3796,3710
"35-39",-3545,3646
"40-44",-3466,3619
"45-49",-3490,3493
"50-54",-3819,3836
"55-59",-4474,4605
"60-64",-4566,4736
"65-69",-4146,4191
"70-74",-3153,3533
"75-79",-2092,2491
"80-84",-1281,1675
"85+",-1379,2528
