"Category","Male","Female"
"0-4",-1123,1070
"5-9",-1155,1122
"10-14",-1351,1331
"15-19",-2075,2392
"20-24",-2725,3027
"25-29",-1362,1419
"30-34",-1328,1210
"35-39",-1215,1191
"40-44",-1254,1237
"45-49",-1305,1305
"50-54",-1442,1441
"55-59",-1581,1702
"60-64",-1429,1435
"65-69",-1188,1277
"70-74",-1000,1121
"75-79",-681,832
"80-84",-429,576
"85+",-418,795
