"Category","Male","Female"
"0-4",-6360,6087
"5-9",-6650,6304
"10-14",-6910,6686
"15-19",-7384,7019
"20-24",-7854,6960
"25-29",-7620,6863
"30-34",-7263,6821
"35-39",-7064,6752
"40-44",-6460,6347
"45-49",-6837,6686
"50-54",-7829,7550
"55-59",-8153,8182
"60-64",-7754,8040
"65-69",-6645,7001
"70-74",-5442,6142
"75-79",-3653,4488
"80-84",-2252,3166
"85+",-2544,4840
