"Category","Male","Female"
"0-4",-55012,52486
"5-9",-53431,51785
"10-14",-50212,48306
"15-19",-50009,47448
"20-24",-53102,53561
"25-29",-61984,65027
"30-34",-59185,61988
"35-39",-49037,54025
"40-44",-44268,50916
"45-49",-41517,48138
"50-54",-43322,50102
"55-59",-42498,51088
"60-64",-37053,45650
"65-69",-27729,35349
"70-74",-20280,28155
"75-79",-13821,21486
"80-84",-9065,15412
"85+",-8346,19016
