"Category","Male","Female"
"0-4",-993,940
"5-9",-981,932
"10-14",-1066,1024
"15-19",-1494,966
"20-24",-1851,995
"25-29",-1569,1266
"30-34",-1497,1371
"35-39",-1359,1234
"40-44",-1252,1130
"45-49",-1281,1265
"50-54",-1677,1523
"55-59",-2042,1965
"60-64",-1985,2060
"65-69",-1755,1798
"70-74",-1370,1503
"75-79",-959,1044
"80-84",-591,647
"85+",-549,845
