"Category","Male","Female"
"0-4",-26682,25487
"5-9",-26326,25421
"10-14",-26347,25657
"15-19",-28619,27892
"20-24",-29838,29923
"25-29",-32498,32244
"30-34",-34214,33879
"35-39",-28878,29036
"40-44",-25385,25978
"45-49",-25362,26377
"50-54",-29385,31268
"55-59",-31464,33849
"60-64",-31850,35410
"65-69",-26637,30024
"70-74",-20087,23649
"75-79",-12992,16853
"80-84",-7829,11792
"85+",-9064,17888
