"Category","Male","Female"
"0-4",-791,754
"5-9",-839,797
"10-14",-963,868
"15-19",-846,817
"20-24",-676,698
"25-29",-798,759
"30-34",-834,691
"35-39",-749,724
"40-44",-752,745
"45-49",-763,723
"50-54",-829,788
"55-59",-1089,1064
"60-64",-1068,1076
"65-69",-835,859
"70-74",-608,593
"75-79",-413,448
"80-84",-287,375
"85+",-297,472
