"Category","Male","Female"
"0-4",-1146,1092
"5-9",-1338,1199
"10-14",-1531,1468
"15-19",-1697,1432
"20-24",-2166,1130
"25-29",-2228,1250
"30-34",-2093,1314
"35-39",-1884,1544
"40-44",-1783,1491
"45-49",-1639,1340
"50-54",-1792,1515
"55-59",-1921,1738
"60-64",-1664,1621
"65-69",-1448,1407
"70-74",-1238,1234
"75-79",-770,867
"80-84",-429,588
"85+",-421,731
