"Category","Male","Female"
"0-4",-726,690
"5-9",-795,763
"10-14",-871,885
"15-19",-847,916
"20-24",-839,935
"25-29",-746,716
"30-34",-656,610
"35-39",-612,615
"40-44",-545,568
"45-49",-647,681
"50-54",-669,681
"55-59",-749,878
"60-64",-878,961
"65-69",-748,847
"70-74",-635,615
"75-79",-450,506
"80-84",-310,383
"85+",-303,511
