"Category","Male","Female"
"0-4",-40322,38515
"5-9",-41537,40356
"10-14",-45203,42622
"15-19",-48478,45404
"20-24",-48152,46975
"25-29",-49011,46970
"30-34",-45289,43081
"35-39",-43343,41978
"40-44",-43586,43895
"45-49",-46178,47832
"50-54",-54021,56264
"55-59",-58225,60687
"60-64",-51704,54389
"65-69",-39868,43202
"70-74",-31863,37176
"75-79",-21941,27801
"80-84",-13616,18930
"85+",-13997,24980
