"Category","Male","Female"
"0-4",-12689,12099
"5-9",-13300,12569
"10-14",-14314,13620
"15-19",-15240,13432
"20-24",-16195,12185
"25-29",-12734,11668
"30-34",-11391,11033
"35-39",-11481,11330
"40-44",-11073,11151
"45-49",-11219,11879
"50-54",-12693,13097
"55-59",-13160,13848
"60-64",-11844,12138
"65-69",-8871,9630
"70-74",-7140,8058
"75-79",-4557,5486
"80-84",-2464,3468
"85+",-2472,4597
