"Category","Male","Female"
"0-4",-930,881
"5-9",-976,981
"10-14",-1177,1154
"15-19",-1632,1330
"20-24",-1447,1301
"25-29",-1191,1061
"30-34",-1116,1065
"35-39",-1085,1069
"40-44",-1028,1057
"45-49",-1080,1053
"50-54",-1390,1403
"55-59",-1752,1807
"60-64",-1933,1927
"65-69",-1683,1714
"70-74",-1484,1510
"75-79",-1121,1129
"80-84",-640,773
"85+",-620,919
