"Category","Male","Female"
"0-4",-5536,5283
"5-9",-5646,5447
"10-14",-5696,5643
"15-19",-6021,5857
"20-24",-6041,5806
"25-29",-6544,6414
"30-34",-6668,6601
"35-39",-6135,6144
"40-44",-5700,5964
"45-49",-5899,6151
"50-54",-6856,7184
"55-59",-7975,8524
"60-64",-8248,8793
"65-69",-6961,7283
"70-74",-5209,5828
"75-79",-3229,3980
"80-84",-1896,2679
"85+",-2101,3998
