"Category","Male","Female"
"0-4",-2076,1977
"5-9",-2181,2097
"10-14",-2371,2229
"15-19",-2367,2149
"20-24",-2230,1958
"25-29",-2362,2185
"30-34",-2353,2047
"35-39",-2260,2210
"40-44",-2159,2050
"45-49",-2144,1929
"50-54",-2634,2447
"55-59",-2987,2853
"60-64",-2828,2748
"65-69",-2281,2402
"70-74",-2047,2188
"75-79",-1364,1485
"80-84",-835,886
"85+",-665,984
