"Category","Male","Female"
"0-4",-6029,5754
"5-9",-6249,5971
"10-14",-6599,6259
"15-19",-6664,6533
"20-24",-7009,6305
"25-29",-7676,6589
"30-34",-7567,7146
"35-39",-7626,7663
"40-44",-7461,7759
"45-49",-7796,7954
"50-54",-8312,8443
"55-59",-8454,8793
"60-64",-7946,8502
"65-69",-6910,7396
"70-74",-6049,6739
"75-79",-3694,4342
"80-84",-2025,2597
"85+",-1875,3323
