"Category","Male","Female"
"0-4",-2211,2107
"5-9",-2391,2307
"10-14",-2531,2422
"15-19",-5794,6156
"20-24",-9771,9257
"25-29",-3968,3964
"30-34",-2880,2958
"35-39",-2790,2970
"40-44",-2506,2593
"45-49",-2220,2338
"50-54",-2574,2705
"55-59",-2592,2895
"60-64",-2549,2832
"65-69",-2372,2621
"70-74",-1964,2161
"75-79",-1296,1473
"80-84",-737,894
"85+",-733,1304
