"Category","Male","Female"
"0-4",-2227,2120
"5-9",-2310,2224
"10-14",-2785,2622
"15-19",-3048,2887
"20-24",-3184,2906
"25-29",-3182,2828
"30-34",-2874,2693
"35-39",-3044,2842
"40-44",-3250,3191
"45-49",-3477,3609
"50-54",-3924,4038
"55-59",-4330,4558
"60-64",-3751,3818
"65-69",-2909,3031
"70-74",-2269,2381
"75-79",-1448,1663
"80-84",-827,1037
"85+",-729,1258
