"Category","Male","Female"
"0-4",-1649,1578
"5-9",-1629,1657
"10-14",-1678,1608
"15-19",-1737,1623
"20-24",-1672,1553
"25-29",-1840,1704
"30-34",-1811,1642
"35-39",-1809,1705
"40-44",-1510,1436
"45-49",-1742,1730
"50-54",-2005,2043
"55-59",-2095,2134
"60-64",-2211,2266
"65-69",-1804,1860
"70-74",-1351,1534
"75-79",-943,1087
"80-84",-589,782
"85+",-626,1113
