"Category","Male","Female"
"0-4",-21822,20809
"5-9",-21879,21309
"10-14",-22554,21568
"15-19",-25440,24294
"20-24",-25174,25134
"25-29",-25480,26380
"30-34",-26174,27271
"35-39",-22915,24029
"40-44",-20102,21859
"45-49",-20186,21987
"50-54",-22726,24549
"55-59",-24520,26817
"60-64",-24704,26658
"65-69",-20437,23048
"70-74",-16049,18890
"75-79",-10693,13555
"80-84",-6446,9045
"85+",-6967,13059
