"Category","Male","Female"
"0-4",-1314,1251
"5-9",-1426,1392
"10-14",-1636,1503
"15-19",-1532,1429
"20-24",-1210,1229
"25-29",-1297,1251
"30-34",-1254,1271
"35-39",-1441,1499
"40-44",-1257,1242
"45-49",-1261,1283
"50-54",-1581,1617
"55-59",-1843,1984
"60-64",-2012,2070
"65-69",-1484,1487
"70-74",-1211,1330
"75-79",-864,922
"80-84",-515,636
"85+",-534,796
