"Category","Male","Female"
"0-4",-28697,27350
"5-9",-29991,28267
"10-14",-31715,29882
"15-19",-32844,31878
"20-24",-30104,30388
"25-29",-29877,30181
"30-34",-29202,29140
"35-39",-31544,31870
"40-44",-31433,32584
"45-49",-31198,32988
"50-54",-33664,36192
"55-59",-34304,37204
"60-64",-31357,34092
"65-69",-24520,28087
"70-74",-19762,23387
"75-79",-13513,17648
"80-84",-8876,13404
"85+",-10065,18831
