"Category","Male","Female"
"0-4",-1174,1120
"5-9",-1361,1205
"10-14",-1446,1441
"15-19",-2511,2045
"20-24",-2269,1949
"25-29",-1196,1114
"30-34",-1201,1175
"35-39",-1149,1166
"40-44",-1100,1084
"45-49",-1166,1188
"50-54",-1360,1372
"55-59",-1611,1645
"60-64",-1732,1741
"65-69",-1357,1399
"70-74",-1110,1120
"75-79",-750,811
"80-84",-485,574
"85+",-482,746
