"Category","Male","Female"
"0-4",-1348,1288
"5-9",-1335,1233
"10-14",-1358,1257
"15-19",-2198,2801
"20-24",-3104,3568
"25-29",-1561,1591
"30-34",-1560,1284
"35-39",-1450,1379
"40-44",-1373,1319
"45-49",-1530,1566
"50-54",-1800,1875
"55-59",-2077,2153
"60-64",-2001,2220
"65-69",-1909,2132
"70-74",-1717,1818
"75-79",-1148,1328
"80-84",-738,862
"85+",-698,1199
