"Category","Male","Female"
"0-4",-62,58
"5-9",-55,67
"10-14",-93,75
"15-19",-103,97
"20-24",-99,85
"25-29",-70,102
"30-34",-78,92
"35-39",-83,80
"40-44",-72,75
"45-49",-122,125
"50-54",-151,143
"55-59",-213,211
"60-64",-242,261
"65-69",-284,276
"70-74",-228,233
"75-79",-152,168
"80-84",-90,96
"85+",-90,117
