"Category","Male","Female"
"0-4",-6935,6616
"5-9",-7436,7022
"10-14",-8110,7688
"15-19",-9809,9940
"20-24",-10625,10518
"25-29",-9785,8406
"30-34",-9097,8072
"35-39",-8365,8085
"40-44",-8740,8460
"45-49",-9042,9083
"50-54",-10510,10583
"55-59",-11351,11712
"60-64",-10882,10825
"65-69",-8626,9063
"70-74",-6471,7367
"75-79",-4356,5340
"80-84",-2776,3594
"85+",-2808,4838
