"Category","Male","Female"
"0-4",-1527,1464
"5-9",-1629,1533
"10-14",-1675,1537
"15-19",-1544,1430
"20-24",-1368,1294
"25-29",-1488,1465
"30-34",-1584,1561
"35-39",-1435,1556
"40-44",-1273,1284
"45-49",-1455,1515
"50-54",-1449,1508
"55-59",-1563,1694
"60-64",-1697,1836
"65-69",-1557,1536
"70-74",-1271,1354
"75-79",-789,931
"80-84",-441,614
"85+",-541,1030
