"Category","Male","Female"
"0-4",-2352,2246
"5-9",-2402,2349
"10-14",-2557,2437
"15-19",-2588,2597
"20-24",-2587,2510
"25-29",-2696,2364
"30-34",-2693,2439
"35-39",-2506,2462
"40-44",-2388,2252
"45-49",-2556,2393
"50-54",-2802,2714
"55-59",-2931,3065
"60-64",-3185,3419
"65-69",-2726,2964
"70-74",-2004,2275
"75-79",-1301,1618
"80-84",-903,1180
"85+",-1006,1746
