"Category","Male","Female"
"0-4",-8322,7931
"5-9",-8075,7726
"10-14",-7910,7460
"15-19",-10675,10983
"20-24",-15920,16474
"25-29",-11642,11334
"30-34",-9437,9375
"35-39",-9533,9648
"40-44",-8605,8794
"45-49",-8368,8749
"50-54",-9438,9683
"55-59",-9935,10648
"60-64",-9616,10430
"65-69",-8411,9345
"70-74",-6619,7658
"75-79",-4105,5238
"80-84",-2560,3741
"85+",-2813,5744
