"Category","Male","Female"
"0-4",-105601,100798
"5-9",-95709,91214
"10-14",-80794,77235
"15-19",-71977,69831
"20-24",-75878,82706
"25-29",-113127,125394
"30-34",-124347,128469
"35-39",-103764,109573
"40-44",-88059,94753
"45-49",-76600,84676
"50-54",-70703,81129
"55-59",-69561,81734
"60-64",-65261,79098
"65-69",-54943,69417
"70-74",-44356,58068
"75-79",-26193,37832
"80-84",-18242,28733
"85+",-17377,35131
