"Category","Male","Female"
"0-4",-2957,2819
"5-9",-2992,2940
"10-14",-3111,2979
"15-19",-3438,3288
"20-24",-3560,3255
"25-29",-3431,3105
"30-34",-3218,3121
"35-39",-3118,3112
"40-44",-2973,3036
"45-49",-3113,3201
"50-54",-3811,3942
"55-59",-4020,4318
"60-64",-3967,4210
"65-69",-3844,4148
"70-74",-3029,3345
"75-79",-1917,2249
"80-84",-1125,1507
"85+",-1104,2046
