"Category","Male","Female"
"0-4",-2291,2181
"5-9",-2389,2273
"10-14",-2446,2414
"15-19",-2561,2468
"20-24",-2412,2260
"25-29",-2089,2021
"30-34",-2140,2140
"35-39",-2031,2040
"40-44",-1975,1980
"45-49",-2025,2167
"50-54",-2374,2393
"55-59",-2768,2816
"60-64",-2935,3058
"65-69",-2523,2644
"70-74",-1941,2001
"75-79",-1262,1397
"80-84",-808,1004
"85+",-790,1364
