"Category","Male","Female"
"0-4",-959,921
"5-9",-907,875
"10-14",-907,851
"15-19",-917,770
"20-24",-1268,881
"25-29",-1456,1021
"30-34",-1276,965
"35-39",-1294,1074
"40-44",-1194,1065
"45-49",-1032,940
"50-54",-1064,998
"55-59",-1215,1174
"60-64",-1335,1325
"65-69",-1138,1145
"70-74",-876,1067
"75-79",-557,639
"80-84",-339,395
"85+",-341,543
