"Category","Male","Female"
"0-4",-1338,1273
"5-9",-1440,1352
"10-14",-1621,1579
"15-19",-2429,2704
"20-24",-3203,3395
"25-29",-2020,1491
"30-34",-1904,1434
"35-39",-1908,1690
"40-44",-1801,1673
"45-49",-1951,1792
"50-54",-2222,2195
"55-59",-2459,2456
"60-64",-2277,2327
"65-69",-1909,1982
"70-74",-1513,1612
"75-79",-963,1103
"80-84",-624,755
"85+",-614,1045
