"Category","Male","Female"
"0-4",-1472,1411
"5-9",-1545,1503
"10-14",-1728,1663
"15-19",-1836,1515
"20-24",-1613,1656
"25-29",-1935,1954
"30-34",-1973,1869
"35-39",-1636,1621
"40-44",-1706,1676
"45-49",-1734,1865
"50-54",-2160,2277
"55-59",-2380,2593
"60-64",-2251,2468
"65-69",-2349,2462
"70-74",-2051,2200
"75-79",-1359,1576
"80-84",-838,1016
"85+",-794,1400
