"Category","Male","Female"
"0-4",-1229,1172
"5-9",-1357,1282
"10-14",-1574,1541
"15-19",-1567,1408
"20-24",-1461,1288
"25-29",-1737,1525
"30-34",-1644,1485
"35-39",-1643,1589
"40-44",-1618,1588
"45-49",-1637,1693
"50-54",-1885,1861
"55-59",-2155,2169
"60-64",-1873,1956
"65-69",-1693,1781
"70-74",-1451,1547
"75-79",-832,1067
"80-84",-515,659
"85+",-525,958
