"Category","Male","Female"
"0-4",-4563,4349
"5-9",-4061,3790
"10-14",-3743,3576
"15-19",-3613,2999
"20-24",-7191,3942
"25-29",-6026,4061
"30-34",-4578,3636
"35-39",-4173,3572
"40-44",-3689,3419
"45-49",-3002,2824
"50-54",-3080,3042
"55-59",-3291,3402
"60-64",-2972,3147
"65-69",-2403,2597
"70-74",-1913,2051
"75-79",-1259,1446
"80-84",-705,954
"85+",-705,1360
