"Category","Male","Female"
"0-4",-3256,3100
"5-9",-3493,3249
"10-14",-3672,3490
"15-19",-4293,4270
"20-24",-4328,4060
"25-29",-3706,3337
"30-34",-3849,3579
"35-39",-3337,3377
"40-44",-3120,3174
"45-49",-3152,3264
"50-54",-3956,4100
"55-59",-4778,4746
"60-64",-4358,4403
"65-69",-3426,3455
"70-74",-2761,2866
"75-79",-1612,1903
"80-84",-843,1153
"85+",-818,1362
