"Category","Male","Female"
"0-4",-12890,12294
"5-9",-12422,12376
"10-14",-12810,12253
"15-19",-12414,11694
"20-24",-11221,10791
"25-29",-10724,10233
"30-34",-9666,9190
"35-39",-9472,9667
"40-44",-9055,9252
"45-49",-8717,9148
"50-54",-9741,10463
"55-59",-10556,11253
"60-64",-9837,10571
"65-69",-8034,8851
"70-74",-6421,7739
"75-79",-4590,5924
"80-84",-3111,4291
"85+",-3195,5678
