"Category","Male","Female"
"0-4",-451,433
"5-9",-442,424
"10-14",-450,425
"15-19",-452,415
"20-24",-401,417
"25-29",-454,501
"30-34",-454,481
"35-39",-447,441
"40-44",-513,551
"45-49",-593,578
"50-54",-664,663
"55-59",-746,793
"60-64",-731,763
"65-69",-651,662
"70-74",-528,550
"75-79",-377,398
"80-84",-205,267
"85+",-202,344
