"Category","Male","Female"
"0-4",-13958,13308
"5-9",-14196,13623
"10-14",-14694,13780
"15-19",-14420,14053
"20-24",-14210,14244
"25-29",-16263,16484
"30-34",-16514,16484
"35-39",-14795,14972
"40-44",-14112,15072
"45-49",-14685,15801
"50-54",-15561,17080
"55-59",-16497,18031
"60-64",-15344,17162
"65-69",-12820,14669
"70-74",-10264,12447
"75-79",-6533,8436
"80-84",-3995,5651
"85+",-3821,7372
