"Category","Male","Female"
"0-4",-940,900
"5-9",-1026,932
"10-14",-1097,1070
"15-19",-1140,1048
"20-24",-1180,959
"25-29",-1681,1096
"30-34",-1724,1083
"35-39",-1568,1143
"40-44",-1364,1123
"45-49",-1387,1084
"50-54",-1649,1308
"55-59",-1745,1521
"60-64",-1379,1332
"65-69",-1283,1158
"70-74",-1079,1123
"75-79",-653,724
"80-84",-336,413
"85+",-296,513
