"Category","Male","Female"
"0-4",-38376,36621
"5-9",-39685,37845
"10-14",-41779,39989
"15-19",-43217,40761
"20-24",-42501,42004
"25-29",-43700,42921
"30-34",-40443,40958
"35-39",-40930,41903
"40-44",-41035,42541
"45-49",-41994,44293
"50-54",-46718,50815
"55-59",-50043,54414
"60-64",-47099,51342
"65-69",-37981,42168
"70-74",-30680,34943
"75-79",-19777,25065
"80-84",-12690,18136
"85+",-14367,26766
